"Date","Price","Open","High","Low","Change %"
"Feb 14, 2016","1.4406","1.4502","1.4538","1.4236","-0.70%"
"Feb 07, 2016","1.4507","1.4503","1.4580","1.4353","0.03%"
"Jan 31, 2016","1.4503","1.4242","1.4670","1.4226","1.80%"
"Jan 24, 2016","1.4247","1.4270","1.4416","1.4149","-0.13%"
"Jan 17, 2016","1.4265","1.4262","1.4364","1.4082","0.05%"
"Jan 10, 2016","1.4258","1.4524","1.4607","1.4251","-1.80%"
"Jan 03, 2016","1.4520","1.4748","1.4815","1.4506","-1.55%"
"Dec 27, 2015","1.4748","1.4914","1.4939","1.4727","-1.24%"
"Dec 20, 2015","1.4933","1.4897","1.4948","1.4803","0.26%"
"Dec 13, 2015","1.4894","1.5217","1.5232","1.4865","-2.12%"
"Dec 06, 2015","1.5217","1.5099","1.5240","1.4956","0.69%"
"Nov 29, 2015","1.5112","1.5038","1.5160","1.4895","0.50%"
"Nov 22, 2015","1.5037","1.5189","1.5197","1.5030","-1.02%"
"Nov 15, 2015","1.5192","1.5237","1.5337","1.5155","-0.27%"
"Nov 08, 2015","1.5233","1.5050","1.5266","1.5041","1.22%"
"Nov 01, 2015","1.5050","1.5452","1.5499","1.5026","-2.46%"
"Oct 25, 2015","1.5429","1.5308","1.5468","1.5241","0.75%"
"Oct 18, 2015","1.5314","1.5432","1.5507","1.5303","-0.78%"
"Oct 11, 2015","1.5435","1.5319","1.5510","1.5199","0.86%"
"Oct 04, 2015","1.5304","1.5178","1.5384","1.5135","0.80%"
"Sep 27, 2015","1.5182","1.5182","1.5241","1.5106","0.00%"
"Sep 20, 2015","1.5182","1.5534","1.5567","1.5134","-2.25%"
"Sep 13, 2015","1.5532","1.5421","1.5659","1.5326","0.66%"
"Sep 06, 2015","1.5430","1.5180","1.5477","1.5171","1.71%"
"Aug 30, 2015","1.5171","1.5395","1.5438","1.5163","-1.44%"
"Aug 23, 2015","1.5393","1.5700","1.5819","1.5334","-1.94%"
"Aug 16, 2015","1.5697","1.5642","1.5725","1.5562","0.33%"
"Aug 09, 2015","1.5646","1.5493","1.5661","1.5457","0.97%"
"Aug 02, 2015","1.5496","1.5624","1.5652","1.5424","-0.82%"
"Jul 26, 2015","1.5624","1.5510","1.5691","1.5491","0.71%"
"Jul 19, 2015","1.5514","1.5609","1.5672","1.5467","-0.61%"
"Jul 12, 2015","1.5609","1.5504","1.5675","1.5450","0.53%"
"Jul 05, 2015","1.5526","1.5534","1.5630","1.5330","-0.29%"
"Jun 28, 2015","1.5571","1.5695","1.5790","1.5557","-1.15%"
"Jun 21, 2015","1.5752","1.5869","1.5911","1.5668","-0.83%"
"Jun 14, 2015","1.5884","1.5563","1.5930","1.5487","2.09%"
"Jun 07, 2015","1.5559","1.5265","1.5602","1.5225","1.88%"
"May 31, 2015","1.5272","1.5292","1.5442","1.5170","-0.12%"
"May 24, 2015","1.5291","1.5482","1.5509","1.5236","-1.28%"
"May 17, 2015","1.5490","1.5732","1.5747","1.5447","-1.48%"
"May 10, 2015","1.5723","1.5446","1.5816","1.5393","1.73%"
"May 03, 2015","1.5456","1.5144","1.5525","1.5090","2.08%"
"Apr 26, 2015","1.5141","1.5169","1.5498","1.5107","-0.32%"
